service_rte_num,yrly_rel
114,-324.85676902353526
981,-215.91121917559235
214,-186.525399638538
989,-144.13515851375783
57,-18.166522940158345
16,-14.2028859033663
56,-5.719652170067315
120,15.625219985924376
304,22.748485222276184
982,26.474526287707576
994,37.97765644077715
64,39.574789407555286
121,43.31213538131722
895,45.36816855019308
893,47.20615756135473
984,51.853435989219726
673,54.4249891178187
20,59.97323483346282
986,61.29038387811998
301,69.73840250543061
105,79.7435735279544
522,82.67012451576494
101,84.10138805939238
217,85.40262042081237
187,85.60954782132396
342,87.81016978889143
346,87.93256118550904
55,88.10711147767176
73,88.19624873332106
167,91.27510887466936
372,92.71373059359377
150,93.69375907202925
10,94.0990955809524
676,95.34314845461184
29,97.08029077389521
160,97.15723847277094
156,97.51583010846491
239,100.33027111741004
311,100.51523243924395
184,100.87560365305234
50,101.76755475754814
102,102.7443769166314
671,103.73132976450155
345,104.76870446153026
269,105.66464547943302
3,106.3341581579494
221,107.8726467475067
672,108.52825074894368
48,111.02362479052329
331,112.72730883784159
554,113.11038496535835
249,113.56289081056646
330,114.00188293336385
322,114.17295138201715
36,116.09643802530894
79,116.85095783230058
240,117.59481435072844
181,118.21752055221154
75,119.08089414901885
119,119.76982258544324
231,120.37026744732032
674,120.72603195885938
320,121.20037783773411
2,121.62097702422574
550,121.78506213647259
70,123.32896961934473
13,124.49204664312359
245,125.9796148525647
246,126.58889870715389
303,127.46554470815387
118,128.9052046997115
14,129.8990427014911
216,130.49138857081954
675,133.22949155826453
165,133.47328637630946
268,133.67944123408003
22,134.43362731420257
148,134.89494498609383
182,137.0324570710524
44,138.7961900338199
250,139.0135287028753
107,139.46366516541173
678,140.81516183984147
225,141.13054990535448
45,144.08327435630687
65,146.09509504001304
60,147.3744092510364
232,147.41294142603053
566,147.55000039302317
218,149.12911131819322
67,150.6857797716686
230,151.92443917665383
4,152.32166350844992
113,152.56467954491487
7,153.44232530778748
241,153.49041669173388
125,154.2434997670944
15,155.2871511525362
226,156.54746264320679
18,157.0016760596804
302,157.19021418360273
128,157.47402938336293
40,157.72087917877766
257,160.3450605773282
556,162.51783598612542
161,162.76788158408786
545,164.7628340566849
987,165.66021540044306
347,168.06350261509823
348,169.23516118663
12,170.53664238485004
124,171.60507257305179
183,172.61909711985265
27,172.8853174685534
131,175.6782984455282
31,177.93099542389754
542,178.98929461400056
1,180.15584450629106
106,181.12683182437192
177,181.71131440039036
190,183.0220080354768
237,183.2742890465253
24,185.74441530904699
33,187.1009516678741
168,187.40486392467992
9,188.41501804666373
49,188.82367989409565
21,188.9221221119185
32,191.3912377873118
132,191.48021385068066
5,197.03607063529094
43,202.25193424335953
28,203.00875611082262
62,208.75718561362004
212,211.69072517279855
255,213.6713804107575
988,213.72791890388598
111,219.43688772045195
8,221.4260575641832
162,224.2288479216902
153,229.5396834756311
271,230.95372410959976
208,237.1827465203275
17,240.23796047987054
11,261.92113870759323
193,269.4602809607896
992,361.486255042564
