service_rte_num,weekday,week_rel,yrly_rel
114,weekday,-324.85676902353526,-324.85676902353526
981,weekday,-215.91121917559235,-215.91121917559235
214,weekday,-186.525399638538,-186.525399638538
989,weekday,-144.13515851375783,-144.13515851375783
120,weekday,-43.3773860612129,15.625219985924376
57,weekday,-18.166522940158345,-18.166522940158345
16,weekday,-14.2028859033663,-14.2028859033663
56,weekday,-5.719652170067315,-5.719652170067315
304,weekday,22.748485222276184,22.748485222276184
982,weekday,26.474526287707576,26.474526287707576
20,weekday,31.195505758044174,59.97323483346282
673,weekday,34.287854323826735,54.4249891178187
994,weekday,37.97765644077715,37.97765644077715
64,weekday,39.574789407555286,39.574789407555286
121,weekday,43.31213538131722,43.31213538131722
895,weekday,45.36816855019308,45.36816855019308
893,weekday,47.20615756135473,47.20615756135473
984,weekday,51.853435989219726,51.853435989219726
545,weekday,53.24953262876288,164.7628340566849
372,weekday,56.67635042680929,92.71373059359377
554,weekday,59.898647765492065,113.11038496535835
986,weekday,61.29038387811998,61.29038387811998
187,weekend,61.70611393180322,85.60954782132396
301,weekday,69.73840250543061,69.73840250543061
542,weekday,69.89277524128437,178.98929461400056
50,weekday,70.57140100908329,101.76755475754814
672,weekday,72.07085215306472,108.52825074894368
346,weekday,73.00322497484962,87.93256118550904
255,weekday,75.30135673112954,213.6713804107575
249,weekday,75.96883483865615,113.56289081056646
673,weekend,76.05376352618043,54.4249891178187
105,weekday,76.51380539123643,79.7435735279544
522,weekend,76.98718334736024,82.67012451576494
10,weekday,78.08999868193548,94.0990955809524
101,weekday,78.27409257195328,84.10138805939238
120,weekend,79.99169931007414,15.625219985924376
184,weekend,81.49955076952695,100.87560365305234
73,weekday,81.8785577125774,88.19624873332106
671,weekend,82.5126408627647,103.73132976450155
105,weekend,83.2125837488737,79.7435735279544
156,weekend,84.18928295759926,97.51583010846491
331,weekday,84.31429030295473,112.72730883784159
345,weekday,85.0709978948846,104.76870446153026
217,weekday,85.40262042081237,85.40262042081237
14,weekday,87.3976771716837,129.8990427014911
342,weekday,87.81016978889143,87.81016978889143
150,weekend,87.86490228103996,93.69375907202925
522,weekday,87.96113870703829,82.67012451576494
55,weekday,88.10711147767176,88.10711147767176
3,weekday,90.29183098114916,106.3341581579494
101,weekend,90.36033506441956,84.10138805939238
20,weekend,90.88264754409767,59.97323483346282
167,weekday,91.27510887466936,91.27510887466936
239,weekend,91.32966109299396,100.33027111741004
676,weekend,91.64862661246988,95.34314845461184
160,weekday,94.42839971953451,97.15723847277094
73,weekend,94.98191686671238,88.19624873332106
231,weekend,95.8059905888284,120.37026744732032
29,weekday,97.08029077389521,97.08029077389521
676,weekday,98.7828756869509,95.34314845461184
150,weekday,99.12062573950203,93.69375907202925
674,weekday,99.77442511758903,120.72603195885938
160,weekend,100.08821342995081,97.15723847277094
311,weekday,100.51523243924395,100.51523243924395
102,weekday,102.7443769166314,102.7443769166314
48,weekday,102.89348375194697,111.02362479052329
346,weekend,103.9677741525136,87.93256118550904
240,weekday,104.39615584412604,117.59481435072844
7,weekday,104.78306762784833,153.44232530778748
2,weekday,104.86715605605694,121.62097702422574
269,weekday,105.66464547943302,105.66464547943302
230,weekend,106.44621299247471,151.92443917665383
221,weekday,107.42798007356178,107.8726467475067
107,weekend,107.68263075157658,139.46366516541173
182,weekend,107.86009124078994,137.0324570710524
187,weekday,107.86446902880877,85.60954782132396
221,weekend,108.3502516935957,107.8726467475067
239,weekday,108.71014941600431,100.33027111741004
75,weekday,108.84392731781656,119.08089414901885
36,weekday,109.46437683911023,116.09643802530894
181,weekday,109.55804291871095,118.21752055221154
156,weekday,109.9233050420295,97.51583010846491
70,weekday,111.17725129058657,123.32896961934473
