stop_id,yrly_rel
68463,814.7583333333333
85254,741.4593853007088
53508,633.1647422889611
10653,578.0824355367855
53504,533.7973101216073
47970,477.8105049208388
54760,449.98220687626906
54003,443.6932930677832
83752,432.5754873062698
54841,418.50153123718445
12377,406.20521588261533
46730,405.92223310570904
12470,398.29392834260915
54060,392.8926987460543
30160,377.50214482247304
18930,373.769906600967
64397,358.75485123057024
82841,355.92801008617573
80432,353.1107103371882
62299,349.11005706984224
29865,343.60754160369544
85781,342.1934530978321
68005,340.2892564261484
47235,338.2029657477026
68004,336.1874849884473
41981,330.2024863247962
29254,330.0964285714286
65015,327.01434032114213
22260,324.1576445150772
64308,323.51489054103797
31680,322.59166666666664
72580,316.3634135338346
55928,314.59175254926896
3250,312.51260162601625
720,305.5069002619683
64960,303.4379754053517
8641,300.9969107692143
12380,300.38977842221715
54135,295.2084411157203
84280,295.04794645073935
60453,294.5302531750368
29240,293.6875306477594
12322,290.8218599147562
60373,288.8848645890738
85066,287.5072209991561
19550,286.6652998236332
55875,284.1686507936508
21850,284.1492915438016
15395,283.97003308435626
77080,283.37186967418546
29405,277.03919317393945
62301,276.97574517806237
15201,276.1368332477425
71345,274.20988455880996
84354,271.0376998054906
64413,270.95802186231134
59904,270.2733485849568
64512,268.9060208175551
37360,268.1102641810241
76036,267.30172164822784
71410,266.73901515151516
13870,266.49168854088333
57776,265.3299012409575
56161,265.03105852494616
40077,263.3242001155161
65049,262.6886786937048
62328,260.59514667397934
15460,260.22472117117826
56450,258.42687939686505
47872,257.91263668580274
30690,257.4042604660422
18630,256.91588465745974
64579,256.65325577268936
45870,255.68217073873672
49588,254.88050439487992
6640,254.5469948140094
26965,254.52546102186426
60480,253.74394562312054
80668,253.06844903607734
31350,252.14801167238878
34930,251.71547619047618
56031,251.7137366197845
81434,251.7021223507552
69028,249.74930350020287
11060,249.09141227847414
6440,248.559362085873
11150,248.29382236002505
2295,248.0419671819134
29247,246.5890985186851
81440,245.4109988394818
85796,243.93530190645586
10915,243.633329466697
71359,243.42675706399362
60010,241.66168144264188
12210,241.5324088468793
28470,240.5426789921296
6237,240.29131430226272
49733,239.88883195722025
12487,239.5581268980466
17950,239.44093719530358
29280,239.35691056910568
5419,238.81124889374587
19440,238.57114783681558
18390,238.1270337445288
84014,236.71175171659118
71348,236.07776582847535
49440,235.33179428199887
2250,234.67849674254282
12010,234.62153638026749
45960,233.63864388201196
80762,233.63120762376275
37460,233.18756047995913
6940,233.01630703294708
40097,232.28374902329688
99271,231.0640137887906
6340,230.50666451040036
41955,229.49408455563733
29270,229.17132970775774
29540,228.72560069893197
42080,226.30023770856448
21833,225.6170280685354
7350,225.23749738819865
85924,225.0282653088166
85902,224.33804759787546
75670,222.884750333141
82854,222.88377976190475
65092,222.56174715596154
64333,221.86512144266365
67150,221.7610932037171
29245,221.70191591676252
